,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win,Home_team_win_margin,Winner_Margin
8,Wed Oct 20 2021,20:00,Philadelphia 76ers,117,New Orleans Pelicans,97,0,12845.0,Smoothie King Center,Philadelphia 76ers,False,-20,20
20,Fri Oct 22 2021,19:30,Brooklyn Nets,114,Philadelphia 76ers,109,0,20367.0,Wells Fargo Center,Brooklyn Nets,False,-5,5
37,Sun Oct 24 2021,19:00,Philadelphia 76ers,115,Oklahoma City Thunder,103,0,14256.0,Paycom Center,Philadelphia 76ers,False,-12,12
49,Tue Oct 26 2021,19:30,Philadelphia 76ers,99,New York Knicks,112,0,15218.0,Madison Square Garden (IV),New York Knicks,True,13,13
65,Thu Oct 28 2021,19:00,Detroit Pistons,102,Philadelphia 76ers,110,0,20017.0,Wells Fargo Center,Philadelphia 76ers,True,8,8
81,Sat Oct 30 2021,19:30,Atlanta Hawks,94,Philadelphia 76ers,122,0,20031.0,Wells Fargo Center,Philadelphia 76ers,True,28,28
95,Mon Nov 1 2021,19:00,Portland Trail Blazers,103,Philadelphia 76ers,113,0,20115.0,Wells Fargo Center,Philadelphia 76ers,True,10,10
110,Wed Nov 3 2021,19:00,Chicago Bulls,98,Philadelphia 76ers,103,0,20438.0,Wells Fargo Center,Philadelphia 76ers,True,5,5
118,Thu Nov 4 2021,19:00,Philadelphia 76ers,109,Detroit Pistons,98,0,8702.0,Little Caesars Arena,Philadelphia 76ers,False,-11,11
134,Sat Nov 6 2021,20:00,Philadelphia 76ers,114,Chicago Bulls,105,0,20936.0,United Center,Philadelphia 76ers,False,-9,9
146,Mon Nov 8 2021,19:00,New York Knicks,103,Philadelphia 76ers,96,0,20224.0,Wells Fargo Center,New York Knicks,False,-7,7
154,Tue Nov 9 2021,19:30,Milwaukee Bucks,118,Philadelphia 76ers,109,0,20029.0,Wells Fargo Center,Milwaukee Bucks,False,-9,9
170,Thu Nov 11 2021,19:00,Toronto Raptors,115,Philadelphia 76ers,109,0,20112.0,Wells Fargo Center,Toronto Raptors,False,-6,6
185,Sat Nov 13 2021,19:00,Philadelphia 76ers,113,Indiana Pacers,118,0,14483.0,Gainbridge Fieldhouse,Indiana Pacers,True,5,5
210,Tue Nov 16 2021,22:00,Philadelphia 76ers,85,Utah Jazz,120,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True,35,35
227,Thu Nov 18 2021,21:00,Philadelphia 76ers,103,Denver Nuggets,89,0,14547.0,Ball Arena,Philadelphia 76ers,False,-14,14
245,Sat Nov 20 2021,22:00,Philadelphia 76ers,111,Portland Trail Blazers,118,0,17027.0,Moda Center,Portland Trail Blazers,True,7,7
261,Mon Nov 22 2021,22:00,Philadelphia 76ers,102,Sacramento Kings,94,0,13948.0,Golden 1 Center,Philadelphia 76ers,False,-8,8
277,Wed Nov 24 2021,22:00,Philadelphia 76ers,96,Golden State Warriors,116,0,18064.0,Chase Center,Golden State Warriors,True,20,20
291,Sat Nov 27 2021,18:00,Minnesota Timberwolves,121,Philadelphia 76ers,120,2,21011.0,Wells Fargo Center,Minnesota Timberwolves,False,-1,1
304,Mon Nov 29 2021,19:00,Orlando Magic,96,Philadelphia 76ers,101,0,20193.0,Wells Fargo Center,Philadelphia 76ers,True,5,5
321,Wed Dec 1 2021,19:30,Philadelphia 76ers,87,Boston Celtics,88,0,19156.0,TD Garden,Boston Celtics,True,1,1
334,Fri Dec 3 2021,19:30,Philadelphia 76ers,98,Atlanta Hawks,96,0,17092.0,State Farm Arena,Philadelphia 76ers,False,-2,2
352,Mon Dec 6 2021,19:00,Philadelphia 76ers,127,Charlotte Hornets,124,1,14462.0,Spectrum Center,Philadelphia 76ers,False,-3,3
