,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
15,Thu Oct 21 2021,10:00p,Los Angeles Clippers,113,Golden State Warriors,115,0,18064.0,Chase Center,Golden State Warriors,True
33,Sat Oct 23 2021,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,0,16748.0,Crypto.com Arena,Memphis Grizzlies,False
48,Mon Oct 25 2021,10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,0,15672.0,Crypto.com Arena,Los Angeles Clippers,True
63,Wed Oct 27 2021,10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,0,13276.0,Crypto.com Arena,Cleveland Cavaliers,False
75,Fri Oct 29 2021,10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,0,16510.0,Moda Center,Portland Trail Blazers,True
101,Mon Nov 1 2021,10:30p,Oklahoma City Thunder,94,Los Angeles Clippers,99,0,13722.0,Crypto.com Arena,Los Angeles Clippers,True
114,Wed Nov 3 2021,8:00p,Los Angeles Clippers,126,Minnesota Timberwolves,115,0,15386.0,Target Center,Los Angeles Clippers,False
128,Fri Nov 5 2021,8:00p,Los Angeles Clippers,104,Minnesota Timberwolves,84,0,17136.0,Target Center,Los Angeles Clippers,False
145,Sun Nov 7 2021,9:00p,Charlotte Hornets,106,Los Angeles Clippers,120,0,15781.0,Crypto.com Arena,Los Angeles Clippers,True
156,Tue Nov 9 2021,10:00p,Portland Trail Blazers,109,Los Angeles Clippers,117,0,14131.0,Crypto.com Arena,Los Angeles Clippers,True
172,Thu Nov 11 2021,10:30p,Miami Heat,109,Los Angeles Clippers,112,0,16150.0,Crypto.com Arena,Los Angeles Clippers,True
190,Sat Nov 13 2021,10:30p,Minnesota Timberwolves,102,Los Angeles Clippers,129,0,15285.0,Crypto.com Arena,Los Angeles Clippers,True
197,Sun Nov 14 2021,9:30p,Chicago Bulls,100,Los Angeles Clippers,90,0,17899.0,Crypto.com Arena,Chicago Bulls,False
211,Tue Nov 16 2021,10:30p,San Antonio Spurs,92,Los Angeles Clippers,106,0,13298.0,Crypto.com Arena,Los Angeles Clippers,True
225,Thu Nov 18 2021,8:00p,Los Angeles Clippers,108,Memphis Grizzlies,120,0,13419.0,FedEx Forum,Memphis Grizzlies,True
234,Fri Nov 19 2021,8:00p,Los Angeles Clippers,81,New Orleans Pelicans,94,0,15274.0,Smoothie King Center,New Orleans Pelicans,True
247,Sun Nov 21 2021,3:30p,Dallas Mavericks,91,Los Angeles Clippers,97,0,17149.0,Crypto.com Arena,Los Angeles Clippers,True
265,Tue Nov 23 2021,10:30p,Dallas Mavericks,112,Los Angeles Clippers,104,1,17067.0,Crypto.com Arena,Dallas Mavericks,False
279,Fri Nov 26 2021,3:30p,Detroit Pistons,96,Los Angeles Clippers,107,0,18139.0,Crypto.com Arena,Los Angeles Clippers,True
299,Sun Nov 28 2021,3:30p,Golden State Warriors,105,Los Angeles Clippers,90,0,19068.0,Crypto.com Arena,Golden State Warriors,False
312,Mon Nov 29 2021,10:30p,New Orleans Pelicans,123,Los Angeles Clippers,104,0,15691.0,Crypto.com Arena,New Orleans Pelicans,False
326,Wed Dec 1 2021,10:30p,Sacramento Kings,124,Los Angeles Clippers,115,0,17217.0,Crypto.com Arena,Sacramento Kings,False
340,Fri Dec 3 2021,10:00p,Los Angeles Clippers,119,Los Angeles Lakers,115,0,18997.0,Crypto.com Arena,Los Angeles Clippers,False
347,Sat Dec 4 2021,10:00p,Los Angeles Clippers,99,Sacramento Kings,104,0,15004.0,Golden 1 Center,Sacramento Kings,True
361,Mon Dec 6 2021,10:00p,Los Angeles Clippers,102,Portland Trail Blazers,90,0,15865.0,Moda Center,Los Angeles Clippers,False
377,Wed Dec 8 2021,10:30p,Boston Celtics,111,Los Angeles Clippers,114,0,17064.0,Crypto.com Arena,Los Angeles Clippers,True
390,Sat Dec 11 2021,3:30p,Orlando Magic,104,Los Angeles Clippers,106,0,17156.0,Crypto.com Arena,Los Angeles Clippers,True
411,Mon Dec 13 2021,10:30p,Phoenix Suns,95,Los Angeles Clippers,111,0,17909.0,Crypto.com Arena,Los Angeles Clippers,True
425,Wed Dec 15 2021,10:00p,Los Angeles Clippers,103,Utah Jazz,124,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
442,Sat Dec 18 2021,8:00p,Los Angeles Clippers,103,Oklahoma City Thunder,104,0,15123.0,Paycom Center,Oklahoma City Thunder,True
456,Mon Dec 20 2021,10:30p,San Antonio Spurs,116,Los Angeles Clippers,92,0,18096.0,Crypto.com Arena,San Antonio Spurs,False
466,Wed Dec 22 2021,10:00p,Los Angeles Clippers,105,Sacramento Kings,89,0,15386.0,Golden 1 Center,Los Angeles Clippers,False
490,Sun Dec 26 2021,9:00p,Denver Nuggets,103,Los Angeles Clippers,100,0,17759.0,Crypto.com Arena,Denver Nuggets,False
497,Mon Dec 27 2021,10:30p,Brooklyn Nets,124,Los Angeles Clippers,108,0,17128.0,Crypto.com Arena,Brooklyn Nets,False
508,Wed Dec 29 2021,7:30p,Los Angeles Clippers,91,Boston Celtics,82,0,19156.0,TD Garden,Los Angeles Clippers,False
522,Fri Dec 31 2021,7:30p,Los Angeles Clippers,108,Toronto Raptors,116,0,0.0,Scotiabank Arena,Toronto Raptors,True
530,Sat Jan 1 2022,7:30p,Los Angeles Clippers,120,Brooklyn Nets,116,0,17732.0,Barclays Center,Los Angeles Clippers,False
549,Mon Jan 3 2022,10:30p,Minnesota Timberwolves,122,Los Angeles Clippers,104,0,15959.0,Crypto.com Arena,Minnesota Timberwolves,False
