,Date,Start (ET),Visitor,PTS,Home,PTS.1,Overtimes,Attend.,Arena,Winner,Home_team_win
13,Thu Oct 21 2021,7:30p,Dallas Mavericks,87,Atlanta Hawks,113,0,17162.0,State Farm Arena,Atlanta Hawks,True
26,Sat Oct 23 2021,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,0,16846.0,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,True
45,Mon Oct 25 2021,7:30p,Detroit Pistons,104,Atlanta Hawks,122,0,14209.0,State Farm Arena,Atlanta Hawks,True
58,Wed Oct 27 2021,7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,0,15541.0,Smoothie King Center,Atlanta Hawks,False
64,Thu Oct 28 2021,7:00p,Atlanta Hawks,111,Washington Wizards,122,0,13653.0,Capital One Arena,Washington Wizards,True
81,Sat Oct 30 2021,7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,0,20031.0,Wells Fargo Center,Philadelphia 76ers,True
96,Mon Nov 1 2021,7:30p,Washington Wizards,111,Atlanta Hawks,118,0,14632.0,State Farm Arena,Atlanta Hawks,True
112,Wed Nov 3 2021,7:30p,Atlanta Hawks,108,Brooklyn Nets,117,0,17323.0,Barclays Center,Brooklyn Nets,True
119,Thu Nov 4 2021,7:30p,Utah Jazz,116,Atlanta Hawks,98,0,16590.0,State Farm Arena,Utah Jazz,False
136,Sat Nov 6 2021,10:00p,Atlanta Hawks,117,Phoenix Suns,121,0,15412.0,Phoenix Suns Arena,Phoenix Suns,True
151,Mon Nov 8 2021,10:00p,Atlanta Hawks,113,Golden State Warriors,127,0,18064.0,Chase Center,Golden State Warriors,True
155,Tue Nov 9 2021,9:00p,Atlanta Hawks,98,Utah Jazz,110,0,18306.0,Vivint Smart Home Arena,Utah Jazz,True
181,Fri Nov 12 2021,9:00p,Atlanta Hawks,96,Denver Nuggets,105,0,16849.0,Ball Arena,Denver Nuggets,True
192,Sun Nov 14 2021,6:00p,Milwaukee Bucks,100,Atlanta Hawks,120,0,16901.0,State Farm Arena,Atlanta Hawks,True
201,Mon Nov 15 2021,7:30p,Orlando Magic,111,Atlanta Hawks,129,0,13061.0,State Farm Arena,Atlanta Hawks,True
214,Wed Nov 17 2021,7:30p,Boston Celtics,99,Atlanta Hawks,110,0,16445.0,State Farm Arena,Atlanta Hawks,True
241,Sat Nov 20 2021,7:30p,Charlotte Hornets,105,Atlanta Hawks,115,0,17320.0,State Farm Arena,Atlanta Hawks,True
254,Mon Nov 22 2021,7:30p,Oklahoma City Thunder,101,Atlanta Hawks,113,0,15806.0,State Farm Arena,Atlanta Hawks,True
276,Wed Nov 24 2021,8:30p,Atlanta Hawks,124,San Antonio Spurs,106,0,13161.0,AT&T Center,Atlanta Hawks,False
284,Fri Nov 26 2021,8:00p,Atlanta Hawks,132,Memphis Grizzlies,100,0,16622.0,FedEx Forum,Atlanta Hawks,False
292,Sat Nov 27 2021,7:30p,New York Knicks,99,Atlanta Hawks,90,0,17287.0,State Farm Arena,New York Knicks,False
318,Wed Dec 1 2021,7:00p,Atlanta Hawks,114,Indiana Pacers,111,0,12656.0,Gainbridge Fieldhouse,Atlanta Hawks,False
334,Fri Dec 3 2021,7:30p,Philadelphia 76ers,98,Atlanta Hawks,96,0,17092.0,State Farm Arena,Philadelphia 76ers,False
349,Sun Dec 5 2021,6:00p,Charlotte Hornets,130,Atlanta Hawks,127,0,16383.0,State Farm Arena,Charlotte Hornets,False
358,Mon Dec 6 2021,8:00p,Atlanta Hawks,121,Minnesota Timberwolves,110,0,15736.0,Target Center,Atlanta Hawks,False
383,Fri Dec 10 2021,7:30p,Brooklyn Nets,113,Atlanta Hawks,105,0,17074.0,State Farm Arena,Brooklyn Nets,False
406,Mon Dec 13 2021,7:30p,Houston Rockets,132,Atlanta Hawks,126,0,14456.0,State Farm Arena,Houston Rockets,False
416,Wed Dec 15 2021,7:00p,Atlanta Hawks,111,Orlando Magic,99,0,13576.0,Amway Center,Atlanta Hawks,False
431,Fri Dec 17 2021,7:30p,Denver Nuggets,133,Atlanta Hawks,115,0,16114.0,State Farm Arena,Denver Nuggets,False
462,Wed Dec 22 2021,7:30p,Orlando Magic,104,Atlanta Hawks,98,0,15299.0,State Farm Arena,Orlando Magic,False
469,Thu Dec 23 2021,7:00p,Atlanta Hawks,98,Philadelphia 76ers,96,0,20408.0,Wells Fargo Center,Atlanta Hawks,False
478,Sat Dec 25 2021,12:00p,Atlanta Hawks,87,New York Knicks,101,0,19812.0,Madison Square Garden (IV),New York Knicks,True
492,Mon Dec 27 2021,7:30p,Chicago Bulls,130,Atlanta Hawks,118,0,17049.0,State Farm Arena,Chicago Bulls,False
509,Wed Dec 29 2021,8:00p,Atlanta Hawks,117,Chicago Bulls,131,0,21372.0,United Center,Chicago Bulls,True
521,Fri Dec 31 2021,7:30p,Atlanta Hawks,121,Cleveland Cavaliers,118,0,17745.0,Rocket Mortgage Fieldhouse,Atlanta Hawks,False
548,Mon Jan 3 2022,10:00p,Atlanta Hawks,131,Portland Trail Blazers,136,0,15091.0,Moda Center,Portland Trail Blazers,True
565,Wed Jan 5 2022,10:00p,Atlanta Hawks,108,Sacramento Kings,102,0,13104.0,Golden 1 Center,Atlanta Hawks,False
577,Fri Jan 7 2022,10:00p,Atlanta Hawks,118,Los Angeles Lakers,134,0,18997.0,Crypto.com Arena,Los Angeles Lakers,True
586,Sun Jan 9 2022,3:30p,Atlanta Hawks,93,Los Angeles Clippers,106,0,14836.0,Crypto.com Arena,Los Angeles Clippers,True
611,Wed Jan 12 2022,7:30p,Miami Heat,115,Atlanta Hawks,91,0,15355.0,State Farm Arena,Miami Heat,False
627,Fri Jan 14 2022,8:00p,Atlanta Hawks,118,Miami Heat,124,0,19600.0,FTX Arena,Miami Heat,True
633,Sat Jan 15 2022,7:30p,New York Knicks,117,Atlanta Hawks,108,0,16414.0,State Farm Arena,New York Knicks,False
651,Mon Jan 17 2022,6:00p,Milwaukee Bucks,114,Atlanta Hawks,121,0,16903.0,State Farm Arena,Atlanta Hawks,True
661,Wed Jan 19 2022,7:30p,Minnesota Timberwolves,122,Atlanta Hawks,134,0,15199.0,State Farm Arena,Atlanta Hawks,True
678,Fri Jan 21 2022,7:30p,Miami Heat,108,Atlanta Hawks,110,0,16385.0,State Farm Arena,Atlanta Hawks,True
694,Sun Jan 23 2022,7:00p,Atlanta Hawks,113,Charlotte Hornets,91,0,15822.0,Spectrum Center,Atlanta Hawks,False
716,Wed Jan 26 2022,7:30p,Sacramento Kings,104,Atlanta Hawks,121,0,15080.0,State Farm Arena,Atlanta Hawks,True
726,Fri Jan 28 2022,7:30p,Boston Celtics,92,Atlanta Hawks,108,0,16932.0,State Farm Arena,Atlanta Hawks,True
742,Sun Jan 30 2022,1:00p,Los Angeles Lakers,121,Atlanta Hawks,129,0,17391.0,State Farm Arena,Atlanta Hawks,True
753,Mon Jan 31 2022,7:30p,Toronto Raptors,106,Atlanta Hawks,100,0,14168.0,State Farm Arena,Toronto Raptors,False
776,Thu Feb 3 2022,7:30p,Phoenix Suns,115,Atlanta Hawks,124,0,16958.0,State Farm Arena,Atlanta Hawks,True
783,Fri Feb 4 2022,7:30p,Atlanta Hawks,114,Toronto Raptors,125,0,,Scotiabank Arena,Toronto Raptors,True
799,Sun Feb 6 2022,6:00p,Atlanta Hawks,94,Dallas Mavericks,103,0,19887.0,American Airlines Center,Dallas Mavericks,True
809,Tue Feb 8 2022,7:30p,Indiana Pacers,112,Atlanta Hawks,133,0,14265.0,State Farm Arena,Atlanta Hawks,True
